,AP Connection Count,Electricity Demand kBTU/h,MAX CO2 Delta,RM 1002 CO2 Delta,RM 1003 CO2 Delta,RM 1101.1 CO2,RM 1101.2 CO2,RM 1101A CO2,RM 1110 CO2,RM 1200 CO2,RM 1303 CO2,RM 1306 CO2,RM 1402 CO2,RM 1402A CO2,RM 2002 CO2,RM 2003 CO2,RM 2004 CO2,RM 2101.1 CO2,RM 2101.2 CO2,RM 2102 CO2,RM 2103 CO2,RM 2201 CO2,RM 2204 CO2,RM 2303 CO2,RM 2401 CO2,Outside Air CO2 Average,Day of Week,Occupied
6/1/2018 12:00,513,239.540512,321,298,-7,109,25,209,33,-130,73,139,-7,140,-23,-78,321,150,308,155,-65,-71,149,44,-153,516,5,1
6/1/2018 12:10,457,234.926651,391.3,333.7,2.7,102.7,23.3,125.3,54.7,-101,91.3,202.7,4,193,16.7,-97,162,174.3,312.3,164,-30.7,-85.3,334,30.3,-138,514.3,5,1
6/1/2018 12:20,401,241.923737,428,337,1,117.7,21.7,72.3,67.3,-64.7,103.3,237.3,21,235.7,18,-109.3,41.3,170.7,302.7,161.3,-3.7,-94.3,428,24.7,-126.7,513.7,5,1
6/1/2018 12:30,406,223.910889,431,308,-12,154,20,50,71,-21,109,243,44,268,-19,-115,-41,139,279,147,16,-98,431,27,-119,514,5,1
6/1/2018 12:40,410,226.037109,426,350.3,-13.7,209,-11,27.7,119.3,8,136.7,241.3,57,295,-82,-118,-57.3,138,278,144,26.3,-96.3,426,4.7,-111.3,513,5,1
6/1/2018 12:50,384,232.587921,424.8,341.2,-4.8,223.5,-26.5,11.5,126.8,-2.2,153.5,244.8,74.8,311.5,-124.8,-105.8,-59.5,143.8,283.2,143.8,35.2,-92.8,424.8,-1.2,-106.2,511.8,5,1
6/1/2018 13:00,368,239.599,427.5,280.5,14.5,197.5,-26.5,1.5,93.5,-51.5,159.5,253.5,97.5,317.5,-147.5,-78.5,-47.5,156.5,294.5,146.5,42.5,-87.5,427.5,9.5,-103.5,510.5,5,1
6/1/2018 13:10,417,225.431656,450.8,299.8,13.8,224.8,-3.8,6.2,90.8,-91.5,139.5,229.5,76.2,316.8,-155.5,19.5,-39.5,153.2,297.2,133.2,40.5,-88.8,450.8,6.2,-99.5,511.2,5,1
6/1/2018 13:20,448,229.478455,492.2,300.2,12.5,265.2,6.8,15.8,112.5,-101.8,129.5,215.8,59.2,317.2,-157.5,96.2,-38.5,154.5,293.5,130.8,42.8,-87.5,492.2,-1.8,-95.2,511.2,5,1
6/1/2018 13:30,418,219.429276,551.5,281.5,10.5,318.5,5.5,30.5,158.5,-82.5,129.5,212.5,46.5,318.5,-153.5,151.5,-44.5,160.5,283.5,139.5,49.5,-83.5,551.5,-14.5,-90.5,510.5,5,1
6/1/2018 13:40,371,227.0711,517.8,295.2,10.2,308.8,-22.8,25.5,158.2,-65.5,141.2,184.8,54.2,339.5,-155.8,175.2,-41.5,143.5,292.5,133.8,55.2,-81.2,517.2,7.8,-86.2,509.5,5,1
6/1/2018 13:50,354,244.043,500,303.7,6.7,276.3,-32.7,25,146.7,-49.7,157.7,166,60,366.3,-156.3,202.3,-42,147,304,128.7,63.7,-64.3,499.3,31.3,-81.7,508.3,5,1
6/1/2018 14:00,393,236.6154,498,307,0,221,-24,29,124,-35,179,156,64,399,-155,233,-46,171,318,124,75,-33,498,56,-77,507,5,1
6/1/2018 14:10,507,271.376984,489,312,18.3,184.7,-26.3,14,102.3,-25.3,176,158.3,51,374,-146.7,152,-47.7,166,312.3,123.7,63.3,45.3,489,41,-74.7,508,5,1
6/1/2018 14:20,500,244.131927,443,307.7,40,160,-24.3,2.3,90.3,-19.3,175.3,167,50,358.3,-116.7,92.7,-46,166,314,126.7,48.3,96.3,443,65,-70.3,507.7,5,1
6/1/2018 14:30,440,247.486908,360,294,65,147,-18,-6,88,-17,177,182,61,352,-65,55,-41,171,323,133,30,120,360,128,-64,506,5,1
6/1/2018 14:40,388,228.56752,352.7,280,71,121.7,-15.3,-2,70.7,-12.3,184.3,189.3,53.7,350,-79,35.7,-37.7,174.3,329.7,139,15.3,144,290,147.3,-60.7,508.7,5,1
6/1/2018 14:50,365,250.091736,354,288.7,62.7,108.3,-1.3,12,61,-4.7,186.7,201.7,56.7,354,-89,23,-36,164,324.3,144,3.7,154,237.7,159,-57.3,509.3,5,1
6/1/2018 15:00,338,235.247131,364,320,40,107,24,36,59,6,184,219,70,364,-95,17,-36,140,307,148,-5,150,203,163,-54,508,5,1
6/1/2018 15:10,322,261.7278,377.3,362.7,54.7,103,11.3,50.7,83,4.7,157.3,246.3,84,374.7,-54.3,1.7,-37.3,120,276.3,138.7,-2.3,142,196.3,107.7,-54.7,507.3,5,1
6/1/2018 15:20,356,236.924011,378.3,357.7,37,92.7,-7.7,64,87.7,2.3,136.3,248,98.3,375.7,-22.7,-21.7,-38.7,102.3,251,135.7,-4.7,128.7,190.3,84.3,-56.3,506.7,5,1
6/1/2018 15:30,329,244.572922,367,305,-13,76,-33,76,73,-1,121,224,113,367,0,-53,-40,87,231,139,-12,110,185,93,-59,506,5,1
6/1/2018 15:40,320,244.207169,371.3,278,11.3,56.3,-42,66.3,62,-2,122,209.7,124,371.3,5,-68.7,-51.7,82,225.3,137.3,-15,109,158,55.3,-61.3,506.3,5,1
6/1/2018 15:50,332,231.472076,393.5,266.2,21.8,51.2,-43.8,60.8,50.2,-4.8,120.5,194.8,120.2,393.5,4.2,-81.5,-61.2,82.2,227.8,138.8,-19.2,104.8,138.5,31.8,-64.8,507.2,5,1
6/1/2018 16:00,350,239.176926,433.5,269.5,18.5,60.5,-38.5,59.5,37.5,-9.5,116.5,179.5,101.5,433.5,-2.5,-91.5,-68.5,87.5,238.5,143.5,-24.5,97.5,126.5,22.5,-69.5,508.5,5,1
6/1/2018 16:10,433,229.760056,433.2,255.2,42.8,101.5,-4.8,159.2,62.5,-7.2,128.8,188.5,107.2,433.2,66.5,-90.5,-66.2,89.8,242.2,145.8,-28.2,23.2,114.2,24.8,-56.5,506.2,5,1
6/1/2018 16:20,346,213.325348,433.7,258.7,45.7,111.3,44,242.3,75,-6.7,125.3,190.3,124.7,433.7,100.7,-90.7,-44.7,93.3,241,146.7,-31.3,-32.7,107.3,35.3,-50.3,504.7,5,1
6/1/2018 16:30,280,201.6568,435,280,27,90,108,309,75,-8,106,185,154,435,100,-92,-4,98,235,146,-34,-70,106,54,-51,504,5,1
6/1/2018 16:40,254,193.707474,404,253.7,-4.7,96.3,121,327.3,92.7,-25.7,101.7,166.7,145,404,91,-95,-1,97,235.3,141.7,-34.3,-75.7,107,59,-48,503.7,5,1
6/1/2018 16:50,249,189.520844,372.5,238.2,-25.8,100.5,148.8,334.8,99.2,-35.2,92.5,153.8,137.8,372.5,81.8,-98.8,12.8,88.5,230.2,135.5,-23.2,-81.5,106.5,56.2,-45.5,504.2,5,1
6/1/2018 17:00,275,185.271271,340.5,233.5,-36.5,102.5,191.5,331.5,94.5,-36.5,78.5,146.5,132.5,340.5,72.5,-103.5,37.5,72.5,219.5,127.5,-0.5,-87.5,104.5,45.5,-43.5,505.5,5,1
6/1/2018 17:10,342,187.086456,317.2,226.2,-41.2,105.2,94.2,248.2,83.2,-32.5,45.2,143.2,102.5,317.2,9.2,-32.2,30.2,93.2,240.2,141.5,-11.8,-78.2,99.8,38.2,-52.8,505.5,5,1
6/1/2018 17:20,312,184.306808,361,223,-50.3,105,56,295,81,-43,24.3,140.7,83.3,322.3,-35.3,29.7,23.7,100.7,246.3,149.3,-23.3,-69.7,97.7,32,-60,505,5,1
6/1/2018 17:30,272,185.76825,472,224,-64,102,77,472,88,-68,16,139,75,356,-61,82,18,95,238,151,-35,-62,98,27,-65,504,5,1
6/1/2018 17:40,254,185.3173,354,221.3,-49.3,94.7,78.3,352,82.7,-80.7,10.7,133.7,56.3,315.3,-93,96,10.7,71.7,212.7,139.7,-45,-50.7,90.7,24.3,-68.3,505.3,5,1
6/1/2018 17:50,251,190.594284,283.3,217,-36.3,95.3,71.3,273.7,80.3,-90.3,7.3,132.3,39.7,283.3,-127.3,95.3,-4.3,48.7,187,131,-52,-32.3,91,23.7,-66.3,505.3,5,1
6/1/2018 18:00,279,196.334549,260,211,-25,104,56,237,81,-97,6,135,25,260,-164,80,-27,26,161,125,-56,-7,99,25,-59,504,5,1
