,AP Connection Count,Electricity Demand kBTU/h,Day of Week,Occupied
6/1/18 12:00,513,239.540512,5,1
6/1/18 12:10,457,234.926651,5,1
6/1/18 12:20,401,241.923737,5,1
6/1/18 12:30,406,223.910889,5,1
6/1/18 12:40,410,226.037109,5,1
6/1/18 12:50,384,232.587921,5,1
6/1/18 13:00,368,239.599,5,1
6/1/18 13:10,417,225.431656,5,1
6/1/18 13:20,448,229.478455,5,1
6/1/18 13:30,418,219.429276,5,1
6/1/18 13:40,371,227.0711,5,1
6/1/18 13:50,354,244.043,5,1
6/1/18 14:00,393,236.6154,5,1
6/1/18 14:10,507,271.376984,5,1
6/1/18 14:20,500,244.131927,5,1
6/1/18 14:30,440,247.486908,5,1
6/1/18 14:40,388,228.56752,5,1
6/1/18 14:50,365,250.091736,5,1
6/1/18 15:00,338,235.247131,5,1
6/1/18 15:10,322,261.7278,5,1
6/1/18 15:20,356,236.924011,5,1
6/1/18 15:30,329,244.572922,5,1
6/1/18 15:40,320,244.207169,5,1
6/1/18 15:50,332,231.472076,5,1
6/1/18 16:00,350,239.176926,5,1
6/1/18 16:10,433,229.760056,5,1
6/1/18 16:20,346,213.325348,5,1
6/1/18 16:30,280,201.6568,5,1
6/1/18 16:40,254,193.707474,5,1
6/1/18 16:50,249,189.520844,5,1
6/1/18 17:00,275,185.271271,5,1
6/1/18 17:10,342,187.086456,5,1
6/1/18 17:20,312,184.306808,5,1
6/1/18 17:30,272,185.76825,5,1
6/1/18 17:40,254,185.3173,5,1
6/1/18 17:50,251,190.594284,5,1
6/1/18 18:00,279,196.334549,5,1
6/2/18 14:40,147,156.886551,6,1
6/2/18 14:50,147,150.523376,6,1
6/2/18 15:00,133,147.473114,6,1
6/2/18 15:10,123,145.93222,6,1
6/2/18 15:20,116,152.215637,6,1
6/2/18 15:30,111,141.706085,6,1
6/2/18 15:40,111,153.253662,6,1
6/2/18 15:50,107,154.921677,6,1
6/2/18 16:00,103,145.9608,6,1
6/2/18 16:10,89,132.784729,6,1
6/2/18 16:20,84,143.322311,6,1
6/2/18 16:30,82,136.786392,6,1
6/5/18 12:10,432,251.07341,2,1
6/5/18 12:20,426,240.565491,2,1
6/5/18 12:30,444,230.613327,2,1
6/5/18 12:40,519,222.815826,2,1
6/5/18 12:50,497,234.1682,2,1
6/5/18 13:00,484,241.169327,2,1
6/5/18 13:10,559,241.404541,2,1
6/5/18 13:20,598,242.69368,2,1
6/5/18 13:30,565,234.084213,2,1
6/5/18 13:40,604,250.377029,2,1
6/5/18 13:50,635,253.9055,2,1
6/5/18 14:00,653,233.781143,2,1
6/5/18 14:10,592,245.643616,2,1
6/5/18 14:20,568,234.8584,2,1
6/5/18 14:30,573,232.920975,2,1
6/5/18 14:40,578,228.020355,2,1
6/5/18 14:50,584,250.439758,2,1
6/5/18 15:00,589,250.777023,2,1
6/5/18 15:10,594,241.900162,2,1
6/5/18 15:20,600,245.25943,2,1
6/5/18 15:30,605,238.203979,2,1
6/5/18 15:40,610,235.5592,2,1
6/5/18 15:50,616,222.723175,2,1
6/5/18 16:00,621,235.160538,2,1
6/5/18 16:10,626,244.2385,2,1
6/5/18 16:20,631,249.237534,2,1
6/5/18 16:30,566,245.468933,2,1
6/5/18 16:40,658,248.432144,2,1
6/5/18 16:50,661,233.424973,2,1
6/5/18 17:00,563,238.559647,2,1
6/5/18 17:10,490,218.870209,2,1
6/5/18 17:20,491,225.3594,2,1
6/5/18 17:30,507,217.139648,2,1
6/5/18 17:40,545,223.140289,2,1
6/5/18 17:50,551,233.842285,2,1
6/5/18 18:00,613,239.10939,2,1
